day_frame,day_time_seconds,night_frame,night_time_seconds,confidence,status
0,0.0,0,0.0,0.61799,matched
1,0.033333,2,0.066667,0.631658,matched
2,0.066667,4,0.133333,0.645327,matched
3,0.1,6,0.2,0.658995,matched
4,0.133333,8,0.266667,0.672663,matched
5,0.166667,10,0.333333,0.686332,matched
6,0.2,12,0.4,0.7,matched
7,0.233333,14,0.466667,0.664928,matched
8,0.266667,16,0.533333,0.629856,matched
9,0.3,18,0.6,0.594785,matched
10,0.333333,20,0.666667,0.559713,matched
11,0.366667,22,0.733333,0.524641,matched
12,0.4,24,0.8,0.489569,matched
13,0.433333,26,0.866667,0.480107,matched
14,0.466667,28,0.933333,0.470646,matched
15,0.5,30,1.0,0.461184,matched
16,0.533333,32,1.066667,0.451722,matched
17,0.566667,34,1.133333,0.442261,matched
18,0.6,36,1.2,0.432799,matched
19,0.633333,37,1.233333,0.430084,matched
20,0.666667,37,1.233333,0.427369,matched
21,0.7,38,1.266667,0.424655,matched
22,0.733333,38,1.266667,0.42194,matched
23,0.766667,39,1.3,0.419225,matched
24,0.8,39,1.3,0.41651,matched
25,0.833333,40,1.333333,0.413795,matched
26,0.866667,40,1.333333,0.41108,matched
27,0.9,40,1.333333,0.408365,matched
28,0.933333,41,1.366667,0.405651,matched
29,0.966667,41,1.366667,0.402936,matched
30,1.0,42,1.4,0.400221,matched
31,1.033333,44,1.466667,0.41285,matched
32,1.066667,46,1.533333,0.425479,matched
33,1.1,48,1.6,0.438108,matched
34,1.133333,50,1.666667,0.450738,matched
35,1.166667,52,1.733333,0.463367,matched
36,1.2,54,1.8,0.475996,matched
37,1.233333,54,1.8,0.456323,matched
38,1.266667,55,1.833333,0.43665,matched
39,1.3,55,1.833333,0.416978,matched
40,1.333333,56,1.866667,0.397305,matched
41,1.366667,56,1.866667,0.377632,matched
42,1.4,57,1.9,0.357959,matched
43,1.433333,57,1.9,0.338286,review
44,1.466667,58,1.933333,0.318613,review
45,1.5,58,1.933333,0.298941,review
46,1.533333,59,1.966667,0.279268,review
47,1.566667,59,1.966667,0.259595,review
48,1.6,60,2.0,0.239922,review
49,1.633333,60,2.0,0.251675,review
50,1.666667,61,2.033333,0.263428,review
51,1.7,62,2.066667,0.275181,review
52,1.733333,62,2.066667,0.286934,review
53,1.766667,63,2.1,0.298687,review
54,1.8,63,2.1,0.31044,review
55,1.833333,64,2.133333,0.322192,review
56,1.866667,64,2.133333,0.333945,review
57,1.9,65,2.166667,0.345698,review
58,1.933333,65,2.166667,0.357451,matched
59,1.966667,66,2.2,0.369204,matched
60,2.0,66,2.2,0.380957,matched
61,2.033333,67,2.233333,0.35231,matched
62,2.066667,67,2.233333,0.323663,review
63,2.1,68,2.266667,0.295015,review
64,2.133333,68,2.266667,0.266368,review
65,2.166667,69,2.3,0.237721,review
66,2.2,69,2.3,0.209074,review
67,2.233333,70,2.333333,0.180426,review
68,2.266667,70,2.333333,0.151779,review
69,2.3,71,2.366667,0.123132,review
70,2.333333,71,2.366667,0.094485,review
71,2.366667,72,2.4,0.065837,review
72,2.4,72,2.4,0.03719,review
73,2.433333,73,2.433333,0.040316,review
74,2.466667,73,2.433333,0.043441,review
75,2.5,74,2.466667,0.046567,review
76,2.533333,74,2.466667,0.049693,review
77,2.566667,74,2.466667,0.052818,review
78,2.6,75,2.5,0.055944,review
79,2.633333,75,2.5,0.05907,review
80,2.666667,76,2.533333,0.062195,review
81,2.7,76,2.533333,0.065321,review
82,2.733333,77,2.566667,0.068447,review
83,2.766667,77,2.566667,0.071572,review
84,2.8,78,2.6,0.074698,review
85,2.833333,78,2.6,0.068473,review
86,2.866667,79,2.633333,0.062248,review
87,2.9,79,2.633333,0.056023,review
88,2.933333,80,2.666667,0.049799,review
89,2.966667,80,2.666667,0.043574,review
90,3.0,81,2.7,0.037349,review
91,3.033333,81,2.7,0.031124,review
92,3.066667,82,2.733333,0.024899,review
93,3.1,82,2.733333,0.018675,review
94,3.133333,83,2.766667,0.01245,review
95,3.166667,83,2.766667,0.006225,review
96,3.2,84,2.8,0.0,review
97,3.233333,84,2.8,0.0,review
98,3.266667,85,2.833333,0.0,review
99,3.3,85,2.833333,0.0,review
100,3.333333,86,2.866667,0.0,review
101,3.366667,86,2.866667,0.0,review
102,3.4,87,2.9,0.0,review
103,3.433333,87,2.9,0.0,review
104,3.466667,88,2.933333,0.0,review
105,3.5,89,2.966667,0.0,review
106,3.533333,89,2.966667,0.0,review
107,3.566667,90,3.0,0.0,review
108,3.6,90,3.0,0.0,review
109,3.633333,91,3.033333,0.00992,review
110,3.666667,91,3.033333,0.019841,review
111,3.7,92,3.066667,0.029761,review
112,3.733333,92,3.066667,0.039681,review
113,3.766667,93,3.1,0.049602,review
114,3.8,93,3.1,0.059522,review
115,3.833333,94,3.133333,0.069442,review
116,3.866667,94,3.133333,0.079363,review
117,3.9,95,3.166667,0.089283,review
118,3.933333,95,3.166667,0.099203,review
119,3.966667,96,3.2,0.109124,review
120,4.0,96,3.2,0.119044,review
121,4.033333,97,3.233333,0.109124,review
122,4.066667,97,3.233333,0.099203,review
123,4.1,98,3.266667,0.089283,review
124,4.133333,98,3.266667,0.079363,review
125,4.166667,99,3.3,0.069442,review
126,4.2,99,3.3,0.059522,review
127,4.233333,100,3.333333,0.049602,review
128,4.266667,100,3.333333,0.039681,review
129,4.3,101,3.366667,0.029761,review
130,4.333333,101,3.366667,0.019841,review
131,4.366667,102,3.4,0.00992,review
132,4.4,102,3.4,0.0,review
133,4.433333,104,3.466667,0.0,review
134,4.466667,106,3.533333,0.0,review
135,4.5,108,3.6,0.0,review
136,4.533333,110,3.666667,0.0,review
137,4.566667,112,3.733333,0.0,review
138,4.6,114,3.8,0.0,review
139,4.633333,114,3.8,0.0,review
140,4.666667,115,3.833333,0.0,review
141,4.7,116,3.866667,0.0,review
142,4.733333,116,3.866667,0.0,review
143,4.766667,116,3.866667,0.0,review
144,4.8,117,3.9,0.0,review
145,4.833333,118,3.933333,0.0,review
146,4.866667,118,3.933333,0.0,review
147,4.9,118,3.933333,0.0,review
148,4.933333,119,3.966667,0.0,review
149,4.966667,120,4.0,0.0,review
150,5.0,120,4.0,0.0,review
151,5.033333,122,4.066667,0.02734,review
152,5.066667,124,4.133333,0.05468,review
153,5.1,126,4.2,0.082021,review
154,5.133333,128,4.266667,0.109361,review
155,5.166667,130,4.333333,0.136701,review
156,5.2,132,4.4,0.164041,review
157,5.233333,133,4.433333,0.150371,review
158,5.266667,133,4.433333,0.136701,review
159,5.3,134,4.466667,0.123031,review
160,5.333333,134,4.466667,0.109361,review
161,5.366667,135,4.5,0.095691,review
162,5.4,135,4.5,0.08202,review
163,5.433333,136,4.533333,0.06835,review
164,5.466667,136,4.533333,0.05468,review
165,5.5,137,4.566667,0.04101,review
166,5.533333,137,4.566667,0.02734,review
167,5.566667,137,4.566667,0.01367,review
168,5.6,138,4.6,0.0,review
169,5.633333,140,4.666667,0.0,review
170,5.666667,142,4.733333,0.0,review
171,5.7,144,4.8,0.0,review
172,5.733333,146,4.866667,0.0,review
173,5.766667,148,4.933333,0.0,review
174,5.8,150,5.0,0.0,review
175,5.833333,152,5.066667,0.009017,review
176,5.866667,154,5.133333,0.018034,review
177,5.9,156,5.2,0.027051,review
178,5.933333,158,5.266667,0.036068,review
179,5.966667,160,5.333333,0.045085,review
180,6.0,162,5.4,0.054102,review
181,6.033333,163,5.433333,0.058541,review
182,6.066667,163,5.433333,0.06298,review
183,6.1,164,5.466667,0.067419,review
184,6.133333,164,5.466667,0.071858,review
185,6.166667,164,5.466667,0.076297,review
186,6.2,165,5.5,0.080736,review
187,6.233333,165,5.5,0.085176,review
188,6.266667,166,5.533333,0.089615,review
189,6.3,166,5.533333,0.094054,review
190,6.333333,167,5.566667,0.098493,review
191,6.366667,167,5.566667,0.102932,review
192,6.4,168,5.6,0.107371,review
193,6.433333,168,5.6,0.098423,review
194,6.466667,169,5.633333,0.089476,review
195,6.5,169,5.633333,0.080528,review
196,6.533333,170,5.666667,0.071581,review
197,6.566667,170,5.666667,0.062633,review
198,6.6,171,5.7,0.053686,review
199,6.633333,171,5.7,0.044738,review
200,6.666667,172,5.733333,0.03579,review
201,6.7,173,5.766667,0.026843,review
202,6.733333,173,5.766667,0.017895,review
203,6.766667,174,5.8,0.008948,review
204,6.8,174,5.8,0.0,review
205,6.833333,175,5.833333,0.0,review
206,6.866667,175,5.833333,0.0,review
207,6.9,176,5.866667,0.0,review
208,6.933333,176,5.866667,0.0,review
209,6.966667,177,5.9,0.0,review
210,7.0,177,5.9,0.0,review
211,7.033333,178,5.933333,0.0,review
212,7.066667,178,5.933333,0.0,review
213,7.1,179,5.966667,0.0,review
214,7.133333,179,5.966667,0.0,review
215,7.166667,180,6.0,0.0,review
216,7.2,180,6.0,0.0,review
217,7.233333,181,6.033333,0.00845,review
218,7.266667,181,6.033333,0.0169,review
219,7.3,182,6.066667,0.02535,review
220,7.333333,182,6.066667,0.0338,review
221,7.366667,182,6.066667,0.04225,review
222,7.4,183,6.1,0.050701,review
223,7.433333,183,6.1,0.059151,review
224,7.466667,184,6.133333,0.067601,review
225,7.5,184,6.133333,0.076051,review
226,7.533333,185,6.166667,0.084501,review
227,7.566667,185,6.166667,0.092951,review
228,7.6,186,6.2,0.101401,review
229,7.633333,188,6.266667,0.084501,review
230,7.666667,190,6.333333,0.067601,review
231,7.7,192,6.4,0.050701,review
232,7.733333,194,6.466667,0.0338,review
233,7.766667,196,6.533333,0.0169,review
234,7.8,198,6.6,0.0,review
235,7.833333,200,6.666667,0.0,review
236,7.866667,202,6.733333,0.0,review
237,7.9,204,6.8,0.0,review
238,7.933333,206,6.866667,0.0,review
239,7.966667,208,6.933333,0.0,review
240,8.0,210,7.0,0.0,review
241,8.033333,212,7.066667,0.013936,review
242,8.066667,214,7.133333,0.027871,review
243,8.1,216,7.2,0.041807,review
244,8.133333,218,7.266667,0.055743,review
245,8.166667,220,7.333333,0.069678,review
246,8.2,222,7.4,0.083614,review
247,8.233333,224,7.466667,0.069678,review
248,8.266667,226,7.533333,0.055743,review
249,8.3,228,7.6,0.041807,review
250,8.333333,230,7.666667,0.027871,review
251,8.366667,232,7.733333,0.013936,review
252,8.4,234,7.8,0.0,review
253,8.433333,236,7.866667,0.004155,review
254,8.466667,238,7.933333,0.00831,review
255,8.5,240,8.0,0.012465,review
256,8.533333,242,8.066667,0.01662,review
257,8.566667,244,8.133333,0.020775,review
258,8.6,246,8.2,0.02493,review
259,8.633333,248,8.266667,0.025339,review
260,8.666667,250,8.333333,0.025748,review
261,8.7,252,8.4,0.026156,review
262,8.733333,254,8.466667,0.026565,review
263,8.766667,256,8.533333,0.026974,review
264,8.8,258,8.6,0.027383,review
265,8.833333,260,8.666667,0.022819,review
266,8.866667,262,8.733333,0.018255,review
267,8.9,264,8.8,0.013692,review
268,8.933333,266,8.866667,0.009128,review
269,8.966667,268,8.933333,0.004564,review
270,9.0,270,9.0,0.0,review
271,9.033333,272,9.066667,0.049123,review
272,9.066667,274,9.133333,0.098247,review
273,9.1,276,9.2,0.14737,review
274,9.133333,278,9.266667,0.196494,review
275,9.166667,280,9.333333,0.245617,review
276,9.2,282,9.4,0.29474,review
277,9.233333,284,9.466667,0.245616,review
278,9.266667,286,9.533333,0.196493,review
279,9.3,288,9.6,0.14737,review
280,9.333333,290,9.666667,0.098246,review
281,9.366667,292,9.733333,0.049123,review
282,9.4,294,9.8,0.0,review
283,9.433333,296,9.866667,0.004613,review
284,9.466667,298,9.933333,0.009226,review
285,9.5,300,10.0,0.013838,review
286,9.533333,302,10.066667,0.018451,review
287,9.566667,304,10.133333,0.023064,review
288,9.6,306,10.2,0.027677,review
289,9.633333,308,10.266667,0.078016,review
290,9.666667,310,10.333333,0.128356,review
291,9.7,312,10.4,0.178695,review
292,9.733333,314,10.466667,0.229035,review
293,9.766667,316,10.533333,0.279374,review
294,9.8,318,10.6,0.329714,review
295,9.833333,320,10.666667,0.280918,review
296,9.866667,322,10.733333,0.232122,review
297,9.9,324,10.8,0.183326,review
298,9.933333,326,10.866667,0.13453,review
299,9.966667,328,10.933333,0.085734,review
300,10.0,330,11.0,0.036938,review
301,10.033333,330,11.0,0.071824,review
302,10.066667,331,11.033333,0.10671,review
303,10.1,332,11.066667,0.141596,review
304,10.133333,332,11.066667,0.176482,review
305,10.166667,332,11.066667,0.211368,review
306,10.2,333,11.1,0.246254,review
307,10.233333,334,11.133333,0.28114,review
308,10.266667,334,11.133333,0.316026,review
309,10.3,334,11.133333,0.350912,matched
310,10.333333,335,11.166667,0.385798,matched
311,10.366667,336,11.2,0.420684,matched
312,10.4,336,11.2,0.45557,matched
313,10.433333,336,11.2,0.456582,matched
314,10.466667,337,11.233333,0.457594,matched
315,10.5,337,11.233333,0.458607,matched
316,10.533333,338,11.266667,0.459619,matched
317,10.566667,338,11.266667,0.460631,matched
318,10.6,339,11.3,0.461643,matched
319,10.633333,339,11.3,0.462655,matched
320,10.666667,340,11.333333,0.463667,matched
321,10.7,340,11.333333,0.46468,matched
322,10.733333,341,11.366667,0.465692,matched
323,10.766667,341,11.366667,0.466704,matched
324,10.8,342,11.4,0.467716,matched
325,10.833333,342,11.4,0.453071,matched
326,10.866667,343,11.433333,0.438426,matched
327,10.9,343,11.433333,0.42378,matched
328,10.933333,344,11.466667,0.409135,matched
329,10.966667,344,11.466667,0.39449,matched
330,11.0,345,11.5,0.379845,matched
331,11.033333,346,11.533333,0.365199,matched
332,11.066667,346,11.533333,0.350554,matched
333,11.1,347,11.566667,0.335909,review
334,11.133333,347,11.566667,0.321263,review
335,11.166667,348,11.6,0.306618,review
336,11.2,348,11.6,0.291973,review
337,11.233333,349,11.633333,0.323527,review
338,11.266667,349,11.633333,0.35508,matched
339,11.3,350,11.666667,0.386634,matched
340,11.333333,350,11.666667,0.418187,matched
341,11.366667,351,11.7,0.44974,matched
342,11.4,351,11.7,0.481294,matched
343,11.433333,352,11.733333,0.512847,matched
344,11.466667,352,11.733333,0.544401,matched
345,11.5,353,11.766667,0.575954,matched
346,11.533333,353,11.766667,0.607508,matched
347,11.566667,354,11.8,0.639061,matched
348,11.6,354,11.8,0.670615,matched
349,11.633333,354,11.8,0.630918,matched
350,11.666667,355,11.833333,0.59122,matched
351,11.7,356,11.866667,0.551522,matched
352,11.733333,356,11.866667,0.511824,matched
353,11.766667,356,11.866667,0.472127,matched
354,11.8,357,11.9,0.432429,matched
355,11.833333,358,11.933333,0.392731,matched
356,11.866667,358,11.933333,0.353033,matched
357,11.9,358,11.933333,0.313335,review
358,11.933333,359,11.966667,0.273638,review
359,11.966667,360,12.0,0.23394,review
360,12.0,360,12.0,0.194242,review
361,12.033333,360,12.0,0.231801,review
362,12.066667,361,12.033333,0.269359,review
363,12.1,362,12.066667,0.306918,review
364,12.133333,362,12.066667,0.344476,review
365,12.166667,362,12.066667,0.382035,matched
366,12.2,363,12.1,0.419594,matched
367,12.233333,364,12.133333,0.457152,matched
368,12.266667,364,12.133333,0.494711,matched
369,12.3,364,12.133333,0.53227,matched
370,12.333333,365,12.166667,0.569828,matched
371,12.366667,366,12.2,0.607387,matched
372,12.4,366,12.2,0.644945,matched
373,12.433333,366,12.2,0.649533,matched
374,12.466667,367,12.233333,0.654121,matched
375,12.5,367,12.233333,0.658709,matched
376,12.533333,368,12.266667,0.663297,matched
377,12.566667,368,12.266667,0.667885,matched
378,12.6,369,12.3,0.672473,matched
379,12.633333,369,12.3,0.67706,matched
